Apple Inc. Common Stock	AAPL
LGI Homes Inc. Common Stock	LGIH
Balchem Corporation Common Stock	BCPC
TORM plc Class A Common Stock	TRMD
Black Hills Corporation Common Stock	BKH
Quaker Chemical Corporation Common Stock	KWR
Itron Inc. Common Stock	ITRI
Hancock Whitney Corporation Common Stock	HWC
Hancock Whitney Corporation 6.25% Subordinated Notes due 2060	HWCPZ
Frontier Group Holdings Inc. Common Stock	ULCC
DigitalOcean Holdings Inc. Common Stock	DOCN
CommScope Holding Company Inc. Common Stock	COMM
Weingarten Realty Investors Common Stock	WRI
F.N.B. Corporation Common Stock	FNB
Madison Square Garden Sports Corp. Class A Common Stock (New)	MSGS
loanDepot Inc. Class A Common Stock	LDI
Alamos Gold Inc. Class A Common Shares	AGI
Bloom Energy Corporation Class A Common Stock	BE
Datto Holding Corp. Common Stock	MSP
Umpqua Holdings Corporation Common Stock	UMPQ
Everbridge Inc. Common Stock	EVBG
KB Home Common Stock	KBH
Signify Health Inc. Class A Common Stock	SGFY
Jamf Holding Corp. Common Stock	JAMF
TEGNA Inc	TGNA
CareDx Inc. Common Stock	CDNA
NewJersey Resources Corporation Common Stock	NJR
PNM Resources Inc. (Holding Co.) Common Stock	PNM
Schneider National Inc. Common Stock	SNDR
Unifirst Corporation Common Stock	UNF
Inari Medical Inc. Common Stock	NARI
Altra Industrial Motion Corp. Common Stock	AIMC
Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058	BHFAL
Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C	BHFAN
Brighthouse Financial Inc. Depositary Shares 6.75% Non-Cumulative Preferred Stock Series B	BHFAO
Brighthouse Financial Inc. Depositary Shares 6.6% Non-Cumulative Preferred Stock Series A	BHFAP
Brighthouse Financial Inc. Common Stock	BHF
Parsons Corporation Common Stock	PSN
Grand Canyon Education Inc. Common Stock	LOPE
EnerSys Common Stock	ENS
JFrog Ltd. Ordinary Shares	FROG
Arconic Corporation Common Stock	ARNC
Olink Holding AB (publ) American Depositary Shares	OLK
Ryman Hospitality Properties Inc. (REIT)	RHP
Cerence Inc. Common Stock	CRNC
Wingstop Inc. Common Stock	WING
Kirby Corporation Common Stock	KEX
Antero Resources Corporation Common Stock	AR
Artisan Partners Asset Management Inc. Class A Common Stock	APAM
Revolve Group Inc. Class A Common Stock	RVLV
Summit Materials Inc. Class A Common Stock	SUM
Eastern Bankshares Inc. Common Stock	EBC
Premier Inc. Class A Common Stock	PINC
Vicor Corporation Common Stock	VICR
PennyMac Financial Services Inc. Common Stock	PFSI
Hain Celestial Group Inc. (The) Common Stock	HAIN
Dana Incorporated Common Stock	DAN
Stem Inc. Class A Common Stock	STEM
ACV Auctions Inc. Class A Common Stock	ACVA
Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock)	ENIC
MACOM Technology Solutions Holdings Inc. Common Stock	MTSI
VIZIO Holding Corp. Class A Common Stock	VZIO
Cushman & Wakefield plc Ordinary Shares	CWK
Coca-Cola Consolidated Inc. Common Stock	COKE
Box Inc. Class A Common Stock	BOX
Atlantica Sustainable Infrastructure plc Ordinary Shares	AY
Certara Inc. Common Stock	CERT
New Relic Inc. Common Stock	NEWR
Enable Midstream Partners LP Common Units representing limited partner interests	ENBL
ONE Gas Inc. Common Stock	OGS
Advantage Solutions Inc. Class A Common Stock	ADV
Rent-A-Center Inc. Common Stock	RCII
M.D.C. Holdings Inc. Common Stock	MDC
Beacon Roofing Supply Inc. Common Stock	BECN
Galapagos NV American Depositary Shares	GLPG
Alarm.com Holdings Inc. Common Stock	ALRM
ViaSat Inc. Common Stock	VSAT
Kodiak Sciences Inc Common Stock	KOD
Viavi Solutions Inc. Common Stock	VIAV
Sage Therapeutics Inc. Common Stock	SAGE
Sana Biotechnology Inc. Common Stock	SANA
Advanced Energy Industries Inc. Common Stock	AEIS
Meritage Homes Corporation Common Stock	MTH
SSR Mining Inc. Common Stock	SSRM
SailPoint Technologies Holdings Inc. Common Stock	SAIL
Hilton Grand Vacations Inc. Common Stock	HGV
SunPower Corporation Common Stock	SPWR
Ameris Bancorp Common Stock	ABCB
National Vision Holdings Inc. Common Stock	EYE
CONMED Corporation Common Stock	CNMD
Six Flags Entertainment Corporation New Common Stock	SIX
Physicians Realty Trust Common Shares of Beneficial Interest	DOC
Qualys Inc. Common Stock	QLYS
Equitrans Midstream Corporation Common Stock	ETRN
LivaNova PLC Ordinary Shares	LIVN
Commercial Metals Company Common Stock	CMC
Aerojet Rocketdyne Holdings Inc. Common Stock	AJRD
EPR Properties Common Stock	EPR
Overstock.com Inc. Common Stock	OSTK
Cronos Group Inc. Common Share	CRON
Evoqua Water Technologies Corp. Common Stock	AQUA
Newegg Commerce Inc. Common Shares	NEGG
Franklin Electric Co. Inc. Common Stock	FELE
Allegiant Travel Company Common Stock	ALGT
SpringWorks Therapeutics Inc. Common Stock	SWTX
Southwest Gas Holdings Inc. Common Stock (DE)	SWX
The Lion Electric Company Common Shares	LEV
Matador Resources Company Common Stock	MTDR
Ormat Technologies Inc. Common Stock	ORA
UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares	TIGR
LCI Industries	LCII
Taylor Morrison Home Corporation Common Stock	TMHC
Spirit Airlines Inc. Common Stock	SAVE
BigCommerce Holdings Inc. Series 1 Common Stock	BIGC
Acushnet Holdings Corp. Common Stock	GOLF
Hannon Armstrong Sustainable Infrastructure Capital Inc. Common Stock	HASI
Genius Sports Limited Ordinary Shares	GENI
LivePerson Inc. Common Stock	LPSN
Desktop Metal Inc. Class A Common Stock	DM
ACADIA Pharmaceuticals Inc. Common Stock	ACAD
ServisFirst Bancshares Inc. Common Stock	SFBS
fuboTV Inc. Common Stock	FUBO
Sabra Health Care REIT Inc. Common Stock	SBRA
Safehold Inc. Common Stock	SAFE
PotlatchDeltic Corporation Common Stock	PCH
NewMarket Corp Common Stock	NEU
Sensient Technologies Corporation Common Stock	SXT
Applied Industrial Technologies Inc. Common Stock	AIT
WNS (Holdings) Limited Sponsored ADR (Jersey)	WNS
Sprout Social Inc Class A Common Stock	SPT
Shake Shack Inc. Class A Common Stock	SHAK
3D Systems Corporation Common Stock	DDD
Focus Financial Partners Inc. Class A Common Stock	FOCS
Nuveen AMT-Free Municipal Credit Income Fund	NVG
Murphy Oil Corporation Common Stock	MUR
FS KKR Capital Corp. II Common Stock	FSKR
Spire Inc. Common Stock	SR
Mercury Systems Inc Common Stock	MRCY
Insight Enterprises Inc. Common Stock	NSIT
Magnite Inc. Common Stock	MGNI
Macerich Company (The) Common Stock	MAC
Alkermes plc Ordinary Shares	ALKS
YPF Sociedad Anonima Common Stock	YPF
Murphy USA Inc. Common Stock	MUSA
Cracker Barrel Old Country Store Inc Common Stock	CBRL
Range Resources Corporation Common Stock	RRC
Lexington Realty Trust Common Stock	LXP
First Hawaiian Inc. Common Stock	FHB
Investors Bancorp Inc. Common Stock	ISBC
Terex Corporation Common Stock	TEX
Arena Pharmaceuticals Inc. Common Stock	ARNA
Spectrum Brands Holdings Inc. Common Stock	SPB
MEDIFAST INC Common Stock	MED
Visteon Corporation Common Stock	VC
Clover Health Investments Corp. Class A Common Stock	CLOV
Cabot Corporation Common Stock	CBT
Kinsale Capital Group Inc. Common Stock	KNSL
Tronox Holdings plc Ordinary Shares (UK)	TROX
Atkore Inc. Common Stock	ATKR
Southwestern Energy Company Common Stock	SWN
Urban Outfitters Inc. Common Stock	URBN
Covetrus Inc. Common Stock	CVET
Brinks Company (The) Common Stock	BCO
Kontoor Brands Inc. Common Stock	KTB
GSX Techedu Inc. American Depositary Shares	GOTU
Camping World Holdings Inc. Class A Commom Stock	CWH
Surgery Partners Inc. Common Stock	SGRY
AudioCodes Ltd. Common Stock	AUDC
H. B. Fuller Company Common Stock	FUL
Allete Inc.	ALE
Commvault Systems Inc. Common Stock	CVLT
Sanderson Farms Inc. Common Stock	SAFM
Helmerich & Payne Inc. Common Stock	HP
National Storage Affiliates Trust Common Shares of Beneficial Interest	NSA
Korn Ferry Common Stock	KFY
Extended Stay America Inc. Paired Shares	STAY
Apple Hospitality REIT Inc. Common Shares	APLE
Rogers Corporation Common Stock	ROG
Cohen & Steers Inc Common Stock	CNS
Cogent Communications Holdings Inc.	CCOI
Blackbaud Inc. Common Stock	BLKB
Bank of Hawaii Corporation Common Stock	BOH
Latham Group Inc. Common Stock	SWIM
Assured Guaranty Ltd. Common Stock	AGO
Ambarella Inc. Ordinary Shares	AMBA
Colony Capital Inc.	CLNY
Asbury Automotive Group Inc Common Stock	ABG
Worthington Industries Inc. Common Stock	WOR
Installed Building Products Inc. Common Stock	IBP
White Mountains Insurance Group Ltd. Common Stock	WTM
Agios Pharmaceuticals Inc. Common Stock	AGIO
ManTech International Corporation Common Stock $0.01 Par Value	MANT
Intercorp Financial Services Inc. Common Shares	IFS
GoHealth Inc. Class A Common Stock	GOCO
PROG Holdings Inc. Common Stock	PRG
Onto Innovation Inc. Common Stock	ONTO
Stamps.com Inc. Common Stock ($0.001 Par Value)	STMP
Poshmark Inc. Class A Common Stock	POSH
Turquoise Hill Resources Ltd. Ordinary Shares	TRQ
Texas Capital Bancshares Inc. Common Stock	TCBI
Texas Capital Bancshares Inc. Depositary Shares 5.75% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B	TCBIO
Texas Capital Bancshares Inc. Non Cumulative Preferred Perpetual Stock Series A	TCBIP
Texas Capital Bancshares Inc. 6.50% Subordinated Notes due 2042	TCBIL
Moelis & Company Class A Common Stock	MC
Trupanion Inc. Common Stock	TRUP
Privia Health Group Inc. Common Stock	PRVA
Dillard's Inc. Common Stock	DDS
HUYA Inc. American depositary shares each representing one Class A ordinary share	HUYA
Zymergen Inc. Common Stock	ZY
Welbilt Inc. Common Stock	WBT
Insperity Inc. Common Stock	NSP
Triton International Limited Common Shares	TRTN
GrafTech International Ltd. Common Stock	EAF
Associated Banc-Corp Common Stock	ASB
Broadstone Net Lease Inc. Common Stock	BNL
Academy Sports and Outdoors Inc. Common Stock	ASO
ExlService Holdings Inc. Common Stock	EXLS
Denbury Inc. Common Stock	DEN
Vishay Intertechnology Inc. Common Stock	VSH
Fabrinet Ordinary Shares	FN
Emergent Biosolutions Inc. Common Stock	EBS
Arvinas Inc. Common Stock	ARVN
Prospect Capital Corporation Common Stock	PSEC
Prospect Capital Corporation 6.25% Notes due 2028	PBY
Prospect Capital Corporation 6.875% Notes due 2029	PBC
Hillenbrand Inc Common Stock	HI
CNO Financial Group Inc. Common Stock	CNO
Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil)	LND
Steven Madden Ltd. Common Stock	SHOO
Magnolia Oil & Gas Corporation Class A Common Stock	MGY
Ingevity Corporation Common Stock	NGVT
Vonage Holdings Corp. Common Stock	VG
Liberty Latin America Ltd. Class A Common Stock	LILA
Liberty Latin America Ltd. Class C Common Stock	LILAK
Diodes Incorporated Common Stock	DIOD
GATX Corporation Common Stock	GATX
Goosehead Insurance Inc. Class A Common Stock	GSHD
Independent Bank Group Inc Common Stock	IBTX
Mercury General Corporation Common Stock	MCY
J & J Snack Foods Corp. Common Stock	JJSF
Glaukos Corporation Common Stock	GKOS
AtriCure Inc. Common Stock	ATRC
Equity Commonwealth Common Shares of Beneficial Interest	EQC
Option Care Health Inc. Common Stock	OPCH
VOC Energy Trust Units of Beneficial Interest	VOC
Casella Waste Systems Inc. Class A Common Stock	CWST
SPS Commerce Inc. Common Stock	SPSC
OUTFRONT Media Inc. Common Stock	OUT
Novagold Resources Inc.	NG
PIMCO Dynamic Credit and Mortgage Income Fund Common Shares of Beneficial Interest	PCI
Merit Medical Systems Inc. Common Stock	MMSI
Bed Bath & Beyond Inc. Common Stock	BBBY
NuVasive Inc. Common Stock	NUVA
Cathay General Bancorp Common Stock	CATY
Crescent Point Energy Corporation Ordinary Shares (Canada)	CPG
AAON Inc. Common Stock	AAON
Allogene Therapeutics Inc. Common Stock	ALLO
FirstCash Inc. Common Stock	FCFS
United States Cellular Corporation 6.250% Senior Notes due 2069	UZD
United States Cellular Corporation 5.500% Senior Notes due 2070	UZE
United States Cellular Corporation 5.500% Senior Notes due 2070	UZF
United States Cellular Corporation 7.25% Senior Notes due 2064	UZC
United States Cellular Corporation 6.95% Senior Notes due 2060	UZA
United States Cellular Corporation Common Stock	USM
LiveRamp Holdings Inc. Common Stock	RAMP
Atlas Corp. 7.125% Notes due 2027	ATCOL
Atlas Corp. Common Shares	ATCO
Simmons First National Corporation Class A Common Stock	SFNC
Herc Holdings Inc. Common Stock	HRI
Nuveen Quality Municipal Income Fund Common Stock	NAD
WD-40 Company Common Stock	WDFC
Dorman Products Inc. Common Stock	DORM
Compania Cervecerias Unidas S.A. Common Stock	CCU
Chimera Investment Corporation Common Stock	CIM
Graham Holdings Company Common Stock	GHC
Waterdrop Inc. American Depositary Shares (each representing the right to receive 10 Class A Ordinary Shares)	WDH
AdaptHealth Corp. Class A Common Stock	AHCO
Navient Corporation 6% Senior Notes due December 15 2043	JSM
Navient Corporation Common Stock	NAVI
ABM Industries Incorporated Common Stock	ABM
Patterson Companies Inc. Common Stock	PDCO
Shutterstock Inc. Common Stock	SSTK
iHeartMedia Inc. Class A Common Stock	IHRT
Kulicke and Soffa Industries Inc. Common Stock	KLIC
Mimecast Limited Ordinary Shares	MIME
KnowBe4 Inc. Class A Common Stock	KNBE
The Simply Good Foods Company Common Stock	SMPL
Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares	BIPC
Sprouts Farmers Market Inc. Common Stock	SFM
Cardlytics Inc. Common Stock	CDLX
InMode Ltd. Ordinary Shares	INMD
BancorpSouth Bank Common Stock	BXS
Sogou Inc. American Depositary Shares each representing one Class A Ordinary Share	SOGO
DNP Select Income Fund Inc. Common Stock	DNP
Karuna Therapeutics Inc. Common Stock	KRTX
SelectQuote Inc. Common Stock	SLQT
Copa Holdings S.A. Copa Holdings S.A. Class A Common Stock	CPA
FuelCell Energy Inc. Common Stock	FCEL
Freedom Holding Corp. Common Stock	FRHC
BlackRock Health Sciences Trust II Common Shares of Beneficial Interest	BMEZ
BlackRock Science and Technology Trust II Common Shares of Beneficial Interest	BSTZ
Kratos Defense & Security Solutions Inc. Common Stock	KTOS
Federated Hermes Inc. Common Stock	FHI
Grocery Outlet Holding Corp. Common Stock	GO
Cornerstone OnDemand Inc. Common Stock	CSOD
Walker & Dunlop Inc Common Stock	WD
Essential Properties Realty Trust Inc. Common Stock	EPRT
Cannae Holdings Inc. Common Stock	CNNE
MicroVision Inc. Common Stock	MVIS
Evertec Inc. Common Stock	EVTC
Atlantic Union Bankshares Corporation Common Stock	AUB
Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A	AUBAP
Turning Point Therapeutics Inc. Common Stock	TPTX
Sunnova Energy International Inc. Common Stock	NOVA
Renewable Energy Group Inc. Common Stock	REGI
SITE Centers Corp. Common Stock	SITC
Kennametal Inc. Common Stock	KMT
SmileDirectClub Inc. Class A Common Stock	SDC
Owens & Minor Inc. Common Stock	OMI
Corporate Office Properties Trust Common Stock	OFC
Old National Bancorp Common Stock	ONB
Intra-Cellular Therapies Inc. Common Stock	ITCI
Papa John's International Inc. Common Stock	PZZA
Comfort Systems USA Inc. Common Stock	FIX
Nektar Therapeutics Common Stock	NKTR
HUTCHMED (China) Limited American Depositary Shares	HCM
CNX Resources Corporation Common Stock	CNX
Trinity Industries Inc. Common Stock	TRN
Werner Enterprises Inc. Common Stock	WERN
Hilltop Holdings Inc.	HTH
Avista Corporation Common Stock	AVA
CarGurus Inc. Class A Common Stock	CARG
Energizer Holdings Inc. Common Stock	ENR
Columbia Banking System Inc. Common Stock	COLB
Signet Jewelers Limited Common Shares	SIG
South Jersey Industries Inc. Corporate Units	SJIV
South Jersey Industries Inc. Common Stock	SJI
Cactus Inc. Class A Common Stock	WHD
Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest	EXG
Macquarie Infrastructure Corporation Common Stock	MIC
NorthWestern Corporation Common Stock	NWE
Nu Skin Enterprises Inc. Common Stock	NUS
Abcam plc American Depositary Shares	ABCM
American Well Corporation Class A Common Stock	AMWL
American Equity Investment Life Holding Company Common Stock	AEL
Cooper Tire & Rubber Company Common Stock	CTB
O-I Glass Inc. Common Stock	OI
Sunoco LP Common Units representing limited partner interests	SUN
Allegheny Technologies Incorporated Common Stock	ATI
CVB Financial Corporation Common Stock	CVBF
Dream Finders Homes Inc. Class A Common Stock	DFH
Livent Corporation Common Stock	LTHM
Stepan Company Common Stock	SCL
National Health Investors Inc. Common Stock	NHI
Pebblebrook Hotel Trust Common Shares of Beneficial Interest	PEB
Brady Corporation Common Stock	BRC
United Community Banks Inc. Common Stock	UCBI
United Community Banks Inc. Depositary Shares each representing 1/1000th interest in a share of Series I Non-CumulativePreferred Stock	UCBIO
Verint Systems Inc. Common Stock	VRNT
Laureate Education Inc. Class A Common Stock	LAUR
Buenaventura Mining Company Inc.	BVN
Accolade Inc. Common Stock	ACCD
Skyline Champion Corporation Common Stock	SKY
StepStone Group Inc. Class A Common Stock	STEP
Osisko Gold Royalties Ltd Common Shares	OR
Relay Therapeutics Inc. Common Stock	RLAY
PagerDuty Inc. Common Stock	PD
EnLink Midstream LLC Common Units representing Limited Partner Interests	ENLC
Corsair Gaming Inc. Common Stock	CRSR
Herman Miller Inc. Common Stock	MLHR
21Vianet Group Inc. American Depositary Shares	VNET
E2open Parent Holdings Inc.Class A Common Stock	ETWO
International Bancshares Corporation Common Stock	IBOC
American States Water Company Common Stock	AWR
Group 1 Automotive Inc. Common Stock	GPI
Mr. Cooper Group Inc. Common Stock	COOP
Calix Inc Common Stock	CALX
Yelp Inc. Common Stock	YELP
Vivint Smart Home Inc.	VVNT
Minerals Technologies Inc. Common Stock	MTX
SVMK Inc. Common Stock	SVMK
Youdao Inc. American Depositary Shares each representing one Class A Ordinary Share	DAO
Arcosa Inc. Common Stock	ACA
Greif Inc. Class A Common Stock	GEF
First Interstate BancSystem Inc. Class A Common Stock	FIBK
Masonite International Corporation Ordinary Shares (Canada)	DOOR
BioCryst Pharmaceuticals Inc. Common Stock	BCRX
Wolverine World Wide Inc. Common Stock	WWW
Nelnet Inc. Common Stock	NNI
Rush Street Interactive Inc. Class A Common Stock	RSI
California Water Service Group Common Stock	CWT
Bandwidth Inc. Class A Common Stock	BAND
Centerra Gold Inc. Common Shares	CGAU
MaxLinear Inc. Common Stock	MXL
Silvergate Capital Corporation Class A Common Stock	SI
Insmed Inc. Common Stock	INSM
SPX FLOW Inc. Common Stock	FLOW
Ameresco Inc. Class A Common Stock	AMRC
Momo Inc. American Depositary Shares	MOMO
Central Garden & Pet Company Common Stock	CENT
Central Garden & Pet Company Class A Common Stock Nonvoting	CENTA
FS KKR Capital Corp. Common Stock	FSK
IGM Biosciences Inc. Common Stock	IGMS
Fluor Corporation Common Stock	FLR
Alkami Technology Inc. Common Stock	ALKT
MakeMyTrip Limited Ordinary Shares	MMYT
Albany International Corporation Common Stock	AIN
Integer Holdings Corporation Common Stock	ITGR
JELD-WEN Holding Inc. Common Stock	JELD
SPX Corporation Common Stock	SPXC
Axos Financial Inc. Common Stock	AX
AMC Networks Inc. Class A Common Stock	AMCX
Kennedy-Wilson Holdings Inc. Common Stock	KW
Veoneer Inc. Common Stock	VNE
Fulton Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A	FULTP
Fulton Financial Corporation Common Stock	FULT
Main Street Capital Corporation Common Stock	MAIN
Haemonetics Corporation Common Stock	HAE
Plexus Corp. Common Stock	PLXS
Telephone and Data Systems Inc. Sr Nt	TDI
Telephone and Data Systems Inc. Common Shares	TDS
Telephone and Data Systems Inc. 5.875% Senior Notes due 2061	TDA
Methanex Corporation Common Stock	MEOH
Burning Rock Biotech Limited American Depositary Shares	BNR
Treehouse Foods Inc. Common Stock	THS
SM Energy Company Common Stock	SM
Primo Water Corporation Common Stock	PRMW
Cadence Bancorporation Class A Common Stock	CADE
Sunstone Hotel Investors Inc. Sunstone Hotel Investors Inc. Common Shares	SHO
Jumia Technologies AG American Depositary Shares each representing two Ordinary Shares	JMIA
Barnes Group Inc. Common Stock	B
PriceSmart Inc. Common Stock	PSMT
WW International Inc. Common Stock	WW
Taro Pharmaceutical Industries Ltd. Ordinary Shares	TARO
Tri Pointe Homes Inc. Common Stock	TPH
St. Joe Company (The) Common Stock	JOE
InnovAge Holding Corp. Common Stock	INNV
Sanmina Corporation Common Stock	SANM
Domtar Corporation (NEW) Common Stock	UFS
PTC Therapeutics Inc. Common Stock	PTCT
First BanCorp. New Common Stock	FBP
Calamos Strategic Total Return Common Stock	CSQ
Mednax Inc. Common Stock	MD
Nexgen Energy Ltd. Common Shares	NXE
AeroVironment Inc. Common Stock	AVAV
iRobot Corporation Common Stock	IRBT
Iovance Biotherapeutics Inc. Common Stock	IOVA
Partner Communications Company Ltd. American Depositary Shares	PTNR
Matson Inc. Common Stock	MATX
Noah Holdings Limited	NOAH
MGE Energy Inc	MGEE
Sleep Number Corporation Common Stock	SNBR
Transocean Ltd (Switzerland) Common Stock	RIG
Badger Meter Inc. Common Stock	BMI
Berkeley Lights Inc. Common Stock	BLI
Cohen & Steers Infrastructure Fund Inc Common Stock	UTF
Frontier Communications Parent Inc. Common Stock	FYBR
Pactiv Evergreen Inc. Common stock	PTVE
The ODP Corporation Common Stock	ODP
FormFactor Inc. FormFactor Inc. Common Stock	FORM
Golub Capital BDC Inc. Common Stock	GBDC
Phreesia Inc. Common Stock	PHR
Vertex Inc. Class A Common Stock	VERX
Rocket Pharmaceuticals Inc. Common Stock	RCKT
Independent Bank Corp. Common Stock	INDB
Pacira BioSciences Inc. Common Stock	PCRX
MYT Netherlands Parent B.V. American Depositary Shares each representing one Ordinary Share	MYTE
Agiliti Inc. Common Stock	AGTI
Custom Truck One Source Inc. Common Stock	CTOS
SEMrush Holdings Inc. Class A Common Stock	SEMR
Nuvation Bio Inc. Class A Common Stock	NUVB
Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock	CNK
LendingTree Inc. Common Stock	TREE
Axonics Inc. Common Stock	AXNX
Mueller Industries Inc. Common Stock	MLI
Federal Signal Corporation Common Stock	FSS
Retail Properties of America Inc. Class A Common Stock	RPAI
WesBanco Inc. Common Stock	WSBC
WesBanco Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of 6.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A	WSBCP
Coca Cola Femsa S.A.B. de C.V. American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares)	KOF
Cedar Fair L.P. Common Stock	FUN
Equinox Gold Corp. Common Shares	EQX
Cheesecake Factory Incorporated (The) Common Stock	CAKE
Century Communities Inc. Common Stock	CCS
Trinseo S.A. Ordinary Shares	TSE
2U Inc. Common Stock	TWOU
Brinker International Inc. Common Stock	EAT
Vericel Corporation Common Stock	VCEL
Forward Air Corporation Common Stock	FWRD
Niu Technologies American Depositary Shares	NIU
CryoPort Inc. Common Stock	CYRX
Cassava Sciences Inc. Common Stock	SAVA
ZipRecruiter Inc. Class A Common Stock	ZIP
InterDigital Inc. Common Stock	IDCC
TransAlta Corporation Ordinary Shares	TAC
Hims & Hers Health Inc. Class A Common Stock	HIMS
California Resources Corporation Common Stock	CRC
Yalla Group Limited American Depositary Shares each representing one Class A Ordinary Share	YALA
Ultra Clean Holdings Inc. Common Stock	UCTT
Allscripts Healthcare Solutions Inc. Common Stock	MDRX
RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value	RLJ
Rush Enterprises Inc. Common Stock Cl A	RUSHA
Rush Enterprises Inc. Class B	RUSHB
Manchester United Ltd. Class A Ordinary Shares	MANU
Shenandoah Telecommunications Co Common Stock	SHEN
MAG Silver Corporation Ordinary Shares	MAG
WSFS Financial Corporation Common Stock	WSFS
PJT Partners Inc. Class A Common Stock	PJT
Jack In The Box Inc. Common Stock	JACK
Butterfly Network Inc. Class A Common Stock	BFLY
Uniti Group Inc. Common Stock	UNIT
VEON Ltd. ADS	VEON
8x8 Inc Common Stock	EGHT
Criteo S.A. American Depositary Shares	CRTO
Amicus Therapeutics Inc. Common Stock	FOLD
Boise Cascade L.L.C. Common Stock	BCC
Sinclair Broadcast Group Inc. Class A Common Stock	SBGI
Cimpress plc Ordinary Shares (Ireland)	CMPR
Innospec Inc. Common Stock	IOSP
Constellium SE Ordinary Shares (France)	CSTM
Bloomin' Brands Inc. Common Stock	BLMN
EchoStar Corporation Common Stock	SATS
Corcept Therapeutics Incorporated Common Stock	CORT
Prestige Consumer Healthcare Inc. Common Stock	PBH
Brandywine Realty Trust Common Stock	BDN
First Financial Bancorp. Common Stock	FFBC
Live Oak Bancshares Inc. Common Stock	LOB
Gibraltar Industries Inc. Common Stock	ROCK
MediaAlpha Inc. Class A Common Stock	MAX
Paramount Group Inc. Common Stock	PGRE
Fortress Transportation and Infrastructure Investors LLC Common Shares	FTAI
GrowGeneration Corp. Common Stock	GRWG
First Merchants Corporation Common Stock	FRME
Arbor Realty Trust Common Stock	ABR
Renasant Corporation Common Stock	RNST
Magellan Health Inc. Common Stock	MGLN
Maxar Technologies Inc.	MAXR
Edgewell Personal Care Company Common Stock	EPC
Newmark Group Inc. Class A Common Stock	NMRK
Riot Blockchain Inc. Common Stock	RIOT
Gentherm Inc Common Stock	THRM
Vista Outdoor Inc. Common Stock	VSTO
Pretium Resources Inc. Ordinary Shares (Canada)	PVG
Flagstar Bancorp Inc. Common Stock	FBC
Abercrombie & Fitch Company Common Stock	ANF
Proto Labs Inc. Common stock	PRLB
FinVolution Group American Depositary Shares	FINV
Dycom Industries Inc. Common Stock	DY
XPEL Inc. Common Stock	XPEL
BRP Group Inc. (Insurance Company) Class A Common Stock	BRP
Washington Federal Inc. Depositary Shares	WAFDP
Washington Federal Inc. Common Stock	WAFD
First Midwest Bancorp Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series C	FMBIO
First Midwest Bancorp Inc. Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A	FMBIP
First Midwest Bancorp Inc. Common Stock	FMBI
Perficient Inc. Common Stock	PRFT
At Home Group Inc. Common Stock	HOME
Global Blood Therapeutics Inc. Common Stock	GBT
Hudbay Minerals Inc. Ordinary Shares (Canada)	HBM
Marathon Digital Holdings Inc. Common Stock	MARA
Inter Parfums Inc. Common Stock	IPAR
Patria Investments Limited Class A Common Shares	PAX
OPKO Health Inc. Common Stock	OPK
Nuveen Municipal Credit Income Fund	NZF
SkyWest Inc. Common Stock	SKYW
NanoString Technologies Inc. Common Stock	NSTG
Avaya Holdings Corp. Common Stock	AVYA
Belden Inc Common Stock	BDC
Root Inc. Class A Common Stock	ROOT
Coeur Mining Inc. Common Stock	CDE
Piedmont Office Realty Trust Inc. Class A Common Stock	PDM
Winnebago Industries Inc. Common Stock	WGO
BTRS Holdings Inc. Class 1 Common Stock	BTRS
Gabelli Dividend & Income Trust Common Shares of Beneficial Interest	GDV
ESCO Technologies Inc. Common Stock	ESE
Dicerna Pharmaceuticals Inc. Common Stock	DRNA
Nuveen Municipal Value Fund Inc. Common Stock	NUV
EVO Payments Inc. Class A Common Stock	EVOP
DouYu International Holdings Limited ADS	DOYU
Bally's Corporation Common Stock	BALY
Verra Mobility Corporation Class A Common Stock	VRRM
Health Catalyst Inc Common Stock	HCAT
Helios Technologies Inc. Common Stock	HLIO
